iter	Passed	Remaining
0	142	142600
1	143	71825
2	144	48182
3	146	36362
4	147	29296
5	149	24697
6	150	21394
7	152	18859
8	153	16897
9	155	15354
10	156	14072
11	158	13008
12	159	12147
13	161	11380
14	163	10718
15	165	10177
16	167	9659
17	168	9201
18	170	8787
19	171	8412
20	173	8104
21	175	7809
22	177	7558
23	179	7303
24	181	7063
25	182	6832
26	183	6610
27	185	6435
28	186	6250
29	188	6081
30	189	5927
31	191	5785
32	192	5654
33	194	5529
34	196	5419
35	198	5306
36	200	5212
37	202	5115
38	203	5008
39	204	4909
40	205	4812
41	207	4721
42	208	4632
43	209	4548
44	210	4468
45	211	4389
46	212	4314
47	214	4245
48	215	4177
49	216	4113
50	218	4064
51	219	4007
52	220	3948
53	222	3893
54	224	3849
55	225	3798
56	226	3749
57	228	3705
58	229	3668
59	231	3631
60	234	3609
61	236	3571
62	237	3525
63	241	3531
64	242	3489
65	243	3448
66	244	3404
67	244	3357
68	245	3316
69	246	3280
70	247	3242
71	248	3205
72	249	3168
73	250	3133
74	251	3099
75	252	3065
76	253	3032
77	253	3000
78	254	2969
79	255	2939
80	256	2909
81	257	2880
82	258	2853
83	259	2825
84	259	2796
85	260	2771
86	261	2742
87	262	2717
88	263	2692
89	263	2668
90	264	2645
91	265	2621
92	266	2599
93	267	2577
94	268	2554
95	269	2533
96	269	2512
97	270	2491
98	271	2472
99	272	2453
100	273	2435
101	274	2413
102	274	2394
103	275	2376
104	276	2358
105	277	2340
106	278	2323
107	279	2306
108	280	2289
109	280	2272
110	281	2256
111	282	2240
112	283	2224
113	284	2209
114	285	2193
115	285	2177
116	286	2163
117	287	2149
118	288	2134
119	289	2120
120	290	2106
121	290	2093
122	291	2077
123	292	2064
124	293	2051
125	293	2038
126	294	2026
127	295	2011
128	296	1999
129	296	1987
130	297	1976
131	298	1964
132	299	1952
133	300	1944
134	301	1934
135	302	1923
136	303	1912
137	304	1901
138	305	1890
139	306	1880
140	306	1869
141	307	1859
142	308	1849
143	309	1839
144	310	1829
145	311	1820
146	311	1810
147	312	1800
148	313	1791
149	314	1782
150	315	1773
151	316	1764
152	317	1755
153	317	1746
154	318	1738
155	319	1729
156	320	1720
157	321	1712
158	322	1703
159	323	1695
160	323	1687
161	324	1679
162	325	1671
163	326	1664
164	327	1656
165	328	1651
166	330	1647
167	331	1641
168	332	1634
169	333	1627
170	334	1620
171	335	1613
172	336	1606
173	337	1601
174	338	1597
175	340	1591
176	341	1585
177	341	1578
178	342	1571
179	343	1565
180	344	1557
181	345	1550
182	345	1544
183	346	1537
184	347	1531
185	348	1525
186	349	1518
187	350	1512
188	351	1506
189	351	1500
190	352	1494
191	353	1487
192	354	1481
193	355	1475
194	356	1470
195	356	1464
196	357	1458
197	358	1453
198	359	1447
199	360	1441
200	361	1436
201	362	1430
202	363	1425
203	363	1419
204	364	1414
205	365	1408
206	366	1403
207	367	1398
208	368	1392
209	369	1388
210	370	1383
211	371	1379
212	372	1375
213	373	1372
214	374	1367
215	375	1364
216	377	1360
217	378	1357
218	379	1353
219	380	1348
220	381	1344
221	382	1339
222	383	1335
223	384	1330
224	384	1325
225	385	1321
226	386	1316
227	387	1311
228	388	1307
229	389	1302
230	389	1297
231	390	1293
232	391	1289
233	392	1284
234	393	1280
235	394	1275
236	394	1271
237	395	1267
238	396	1263
239	397	1259
240	398	1255
241	399	1251
242	400	1247
243	401	1243
244	402	1239
245	402	1235
246	403	1231
247	404	1226
248	405	1222
249	406	1218
250	407	1214
251	407	1210
252	408	1206
253	409	1202
254	410	1198
255	411	1195
256	412	1191
257	413	1188
258	413	1184
259	414	1180
260	415	1176
261	416	1172
262	417	1169
263	418	1165
264	418	1161
265	419	1158
266	420	1154
267	421	1150
268	422	1147
269	423	1143
270	423	1140
271	424	1136
272	425	1133
273	426	1129
274	427	1126
275	428	1123
276	428	1119
277	429	1116
278	430	1113
279	431	1109
280	432	1106
281	433	1103
282	434	1099
283	434	1096
284	435	1093
285	436	1090
286	437	1086
287	438	1083
288	439	1080
289	440	1077
290	441	1074
291	441	1071
292	442	1068
293	443	1065
294	444	1062
295	445	1059
296	446	1056
297	446	1052
298	447	1049
299	448	1046
300	449	1043
301	450	1040
302	451	1037
303	451	1034
304	452	1031
305	453	1029
306	454	1026
307	455	1023
308	456	1020
309	457	1017
310	458	1014
311	458	1012
312	459	1009
313	460	1006
314	461	1003
315	462	1000
316	463	997
317	463	994
318	464	992
319	465	989
320	466	986
321	467	984
322	468	981
323	469	978
324	469	976
325	470	973
326	471	970
327	472	968
328	473	965
329	474	962
330	475	960
331	475	957
332	476	954
333	477	952
334	478	949
335	479	947
336	480	944
337	481	942
338	481	939
339	482	937
340	483	934
341	484	932
342	485	929
343	486	927
344	487	924
345	487	922
346	488	919
347	489	917
348	490	914
349	491	912
350	492	909
351	492	907
352	493	904
353	494	902
354	495	900
355	496	898
356	497	895
357	499	895
358	501	896
359	502	893
360	505	894
361	506	892
362	507	890
363	509	889
364	510	887
365	511	885
366	512	883
367	513	881
368	514	878
369	515	876
370	516	874
371	517	874
372	519	873
373	520	871
374	521	869
375	522	867
376	524	867
377	526	865
378	527	863
379	528	862
380	529	860
381	531	859
382	532	857
383	534	856
384	535	855
385	537	854
386	539	854
387	541	853
388	542	852
389	544	851
390	545	849
391	546	847
392	547	845
393	549	844
394	550	842
395	551	841
396	552	839
397	553	837
398	554	835
399	555	833
400	556	831
401	557	829
